division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2L,hole_3,hole_4,hole_5L,hole_6L,hole_7,hole_8L,hole_9L,hole_10,hole_11,hole_12,hole_13,hole_14L,hole_15,hole_16L,hole_17,hole_18L,hole_19,hole_20L,hole_21
WHITE,T9,9,Cody Hoefar,1,67,,callmethedoctor,1,67,3,3,3,3,3,3,3,4,4,2,5,3,4,3,3,3,3,3,3,3,3
WHITE,11,11,Kevin Cheek,2,68,103077,bigmoneycheeks,2,68,3,3,3,3,3,3,2,3,4,3,5,3,3,5,3,4,2,4,3,3,3
WHITE,T12,12,David Sampson,3,69,97141,supersampson,3,69,4,4,3,2,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3
WHITE,T12,12,Glenn Daigle,3,69,205860,glenndaigle,3,69,4,4,2,3,3,3,3,4,4,3,4,3,4,3,3,4,3,3,3,3,3
WHITE,T12,12,Stuart Bermack,3,69,240487,stuartbermack,3,69,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,4,2,4,3
WHITE,T15,15,Blake Meyers,6,72,,glutenator,6,72,3,3,2,3,3,3,3,4,4,3,4,3,5,4,3,3,4,4,4,4,3
WHITE,T15,15,Stacey Duke,6,72,,elduko,6,72,3,5,3,2,3,4,3,5,3,3,4,3,4,4,3,3,4,4,2,4,3
WHITE,T17,17,Chris jordan,8,74,,cjnasty,8,74,3,3,3,3,4,3,3,4,6,4,4,4,3,3,3,4,3,4,3,4,3
WHITE,T17,17,John Blake,8,74,,jtblake4,8,74,3,4,2,3,3,4,3,5,4,3,4,3,4,4,3,3,4,5,3,3,4
WHITE,T17,17,Miles Kane,8,74,,milsman2,8,74,4,4,2,3,5,3,3,4,4,3,6,7,3,3,3,3,3,3,3,2,3
WHITE,T20,20,Grant Ball,10,76,,gballl,10,76,3,5,4,3,3,4,3,5,5,2,4,4,5,4,3,3,3,4,3,3,3
WHITE,T20,20,Robert Dingwall,10,76,,dingwallrobert,10,76,4,5,3,2,4,4,4,5,3,2,4,3,4,4,3,4,4,5,2,4,3
RED,1,1,Drew Collier,2,68,198837,drewcollier,2,68,2,4,3,3,4,3,3,4,5,3,3,3,3,3,2,4,3,3,3,4,3
RED,2,2,Luis Mansilla,5,71,286398,htxpunchy,5,71,3,3,2,2,4,3,3,4,4,2,6,3,4,3,3,4,6,3,2,4,3
RED,3,3,Michael Filewicz,8,74,,lifeasmike,8,74,3,5,3,2,3,4,3,5,4,4,4,3,4,3,3,3,4,4,3,4,3
RED,4,4,Gabriel Salas,13,79,184958,gabrielsimpson4,13,79,3,4,4,3,4,4,4,6,4,3,6,4,4,3,3,3,4,4,3,3,3
RED,5,5,Stephen Hoffart ,14,80,271729,midnightlace,14,80,4,5,3,3,4,4,3,5,3,3,5,3,4,4,3,5,3,4,4,4,4
RED,6,6,Ian McClellan,26,92,,rthawk,26,92,4,4,4,4,5,5,4,6,6,3,6,4,5,5,3,4,4,5,4,3,4
